trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.5, 'e': 0.9924355}",30,0,-236.4335774823554,"{0: 13, 1: 3, 2: 10, 3: 1, 4: 3}",0
125,False,"{'a': 0.5, 'e': 0.992312}",25,0,-73.91162679944499,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.9921875}",20,0,-83.34147229647571,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.992062}",30,0,-78.54950209209741,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.9919355}",30,0,-145.36353481168823,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.991808}",20,14,8.277937997718974,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.9916795}",20,0,-49.81827659733133,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.99155}",30,0,-224.86158313439316,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
132,False,"{'a': 0.5, 'e': 0.9914195}",25,0,-223.13833553565678,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
133,False,"{'a': 0.5, 'e': 0.991288}",20,0,-115.98234463589132,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
134,False,"{'a': 0.5, 'e': 0.9911555}",25,0,-128.9732995665131,"{0: 12, 1: 8, 2: 2, 3: 2, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.991022}",20,0,-123.47525634952963,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.9908875}",25,0,-96.2848503301222,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.990752}",20,0,-66.7754573143396,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.9906155}",20,14,-1.0800175883378003,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.990478}",20,0,-94.64040795163956,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.9903395}",20,0,-78.58570468437867,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.9902}",20,0,-88.86037399576331,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.9900595}",20,0,-167.6713870479922,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
143,False,"{'a': 0.5, 'e': 0.989918}",30,0,-144.26998903632125,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.9897755}",20,0,-147.01231014262785,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.989632}",20,0,-61.28019904723262,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.9894875}",20,0,-24.721696848699654,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.989342}",25,19,3.3923801456339158,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.9891955}",30,0,-241.66511550235288,"{0: 14, 1: 3, 2: 7, 3: 3, 4: 3}",0
149,False,"{'a': 0.5, 'e': 0.989048}",25,3,-177.3327368211553,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 3}",1
150,False,"{'a': 0.5, 'e': 0.9888995}",20,0,-127.46030260121724,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.98875}",30,0,-259.6892650336614,"{0: 15, 1: 4, 2: 5, 3: 2, 4: 4}",0
152,False,"{'a': 0.5, 'e': 0.9885995}",20,0,-66.19772154877886,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.988448}",20,0,-138.55936036795677,"{0: 7, 1: 3, 2: 9, 3: 0, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.9882955}",25,0,-187.7163422537795,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
155,False,"{'a': 0.5, 'e': 0.988142}",25,0,-95.06105292865779,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.9879875}",25,0,-129.00375917226572,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
157,False,"{'a': 0.5, 'e': 0.987832}",20,0,-100.12688505899507,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
158,False,"{'a': 0.5, 'e': 0.9876755}",20,0,-152.60746284920265,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.987518}",25,0,-108.79558458832821,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.9873595}",30,0,-190.8169115078186,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.9872}",20,0,-74.02479739591908,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.9870395}",20,0,-17.486272397825903,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.986878}",25,0,-27.76513140062938,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.9867155}",25,0,-137.9568004195836,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.986552}",30,0,-156.00173652794507,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.9863875}",20,0,-168.72640494540158,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
167,False,"{'a': 0.5, 'e': 0.986222}",25,13,-84.17591491599644,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.9860555}",35,0,-108.87163009853984,"{0: 25, 1: 2, 2: 5, 3: 2, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.985888}",20,0,-34.88539259944436,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.9857195}",20,0,-88.96896680549025,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.98555}",30,0,-132.14357806483522,"{0: 17, 1: 1, 2: 9, 3: 3, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.9853795}",30,0,-109.08557347672276,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.985208}",20,0,-100.64701819232874,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.9850355}",20,0,-39.67987423229138,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.984862}",25,0,-106.72572277622281,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.9846875}",25,0,-159.48877637677114,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
177,False,"{'a': 0.5, 'e': 0.984512}",20,0,-90.55060248710228,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.9843355}",25,0,-85.91317907496841,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
